ucsc external_gene_name ensembl_gene_id
uc002ymf.3 ADAMTS1 ENSG00000154734
uc002ysa.2 GART ENSG00000159131
uc002yzn.1 RIPK4 ENSG00000183421
uc002zdg.3 LINC00319 ENSG00000188660
uc002zdu.2 AP001053.11 ENSG00000215458
uc002zgp.2 ADARB1 ENSG00000197381
uc002zqf.1 GNB1L ENSG00000185838
uc002zqz.3 ARVCF ENSG00000099889
uc002zzn.1 SUSD2 ENSG00000099994
uc003adp.4 TTC28 ENSG00000100154
uc003aez.3 EWSR1 ENSG00000182944
uc003ami.3 SLC5A4 ENSG00000100191
uc003anb.3 TIMP3 ENSG00000100234
uc003ant.2 HMOX1 ENSG00000100292
uc003aoe.3 APOL6 ENSG00000221963
uc003arc.3 RAC2 ENSG00000128340
uc003asq.4 ELFN2 ENSG00000166897
uc003atv.3 TRIOBP ENSG00000100106
uc003awk.3 NPTXR ENSG00000221890
uc003bcq.3 RRP7A ENSG00000189306
uc003bet.2 KIAA1644 ENSG00000138944
uc003bve.1 IRAK2 ENSG00000134070
uc003bvy.1 SLC6A11 ENSG00000132164
uc003bye.1 WNT7A ENSG00000154764
uc003cbq.3 KAT2B ENSG00000114166
uc003cey.1 CMTM7 ENSG00000153551
uc003cgj.3 TRANK1 ENSG00000168016
uc003cqp.3 NBEAL2 ENSG00000160796
uc003cty.1 UCN2 ENSG00000145040
uc003ctz.2 COL7A1 ENSG00000114270
uc003cwe.3 LAMB2 ENSG00000172037
uc003cwh.3 KLHDC8B ENSG00000185909
uc003cxr.3 UBA7 ENSG00000182179
uc003dbw.2 RRP9 ENSG00000114767
uc003dep.2 SMIM4 ENSG00000168273
uc003dgz.3 CHDH ENSG00000016391
uc003diw.4 PDE12 ENSG00000174840
uc003dmf.3 PRICKLE2 ENSG00000163637
uc003dqn.3 VGLL3 ENSG00000206538
uc003dtx.4 LNP1 ENSG00000206535
uc003dxy.3 ZBED2 ENSG00000177494
uc003eex.3 CSTA ENSG00000121552
uc003eho.3 ITGB5 ENSG00000082781
uc003ejf.2 CHCHD6 ENSG00000159685
uc003ejq.3 PODXL2 ENSG00000114631
uc003eqa.4 SLCO2A1 ENSG00000174640
uc003etw.3 ZBTB38 ENSG00000177311
uc003evd.3 PCOLCE2 ENSG00000163710
uc003evn.3 SLC9A9 ENSG00000181804
uc003exb.1 TM4SF1 ENSG00000169908
uc003ezq.3 P2RY1 ENSG00000169860
uc003fln.1 B3GNT5 ENSG00000176597
uc003fmc.2 MAP6D1 ENSG00000180834
uc003foz.3 EPHB3 ENSG00000182580
uc003fsh.3 CLDN1 ENSG00000163347
uc003ftq.2 HES1 ENSG00000114315
uc003fuj.3 FAM43A ENSG00000185112
uc003fur.2 APOD ENSG00000189058
uc003fxh.3 PIGZ ENSG00000119227
uc003geq.2 NAT8L ENSG00000185818
uc003gjl.3 S100P ENSG00000163993
uc003gkd.4 AFAP1-AS1 ENSG00000272620
uc003gom.3 FGFBP1 ENSG00000137440
uc003haj.2 CHIC2 ENSG00000109220
uc003hcn.3 IGFBP7 ENSG00000163453
uc003heo.3 SULT1E1 ENSG00000109193
uc003hie.1 EREG ENSG00000124882
uc003hlb.2 FRAS1 ENSG00000138759
uc003hld.3 ANXA3 ENSG00000138772
